"start","end","text"
"970","1650"," (Transcribed by TurboScribe.ai - Go Unlimited to remove this message) Away"
"1650","1990"," from"
"1990","2170"," the"
"2170","2450"," front"
"2450","2830"," lines,"
"3430","3530"," an"
"3530","3930"," army"
"3930","4170"," of"
"4170","4550"," artists"
"4550","4910"," begin"
"4910","5110"," the"
"5110","5570"," process"
"5570","5850"," of"
"5850","6230"," mending"
"6230","6590"," this"
"6590","7130"," nation's"
"7130","7510"," grief."
"9190","9910"," Gently"
"9910","10530"," repairing"
"10530","10810"," the"
"10810","11090"," hurt"
"11090","11430"," brought"
"11430","11690"," on"
"11690","11890"," by"
"11890","12310"," war."
"13630","13830"," At"
"13830","14390"," Lviv's"
"14390","14830"," National"
"14830","15250"," Opera,"
"15830","16310"," everyone"
"16310","16690"," has"
"16690","16850"," a"
"16850","17070"," part"
"17070","17290"," to"
"17290","17590"," play. "
"19230","19950"," Tonight's"
"19950","20290"," Giselle"
"20290","20730"," Ballet"
"20730","21410"," will"
"21410","21550"," be"
"21550","21750"," the"
"21750","22150"," first"
"22150","22470"," full"
"22470","22950"," performance"
"22950","23430"," since"
"23430","23630"," the"
"23630","23950"," theatre"
"23950","24310"," closed"
"24310","24530"," its"
"24530","24870"," doors"
"24870","25670"," almost"
"25670","26450"," two"
"26450","26710"," months"
"26710","27090"," ago."
"29270","29750"," As"
"29750","30250"," musicians"
"30250","30750"," dust"
"30750","30990"," off"
"30990","31229"," their"
"31229","31750"," instruments"
"31750","32530"," and"
"32530","32730"," as"
"32730","32910"," the"
"32910","33290"," audience"
"33290","33770"," starts"
"33770","33990"," to"
"33990","34330"," trickle"
"34330","34610"," in,"
"35330","35430"," for"
"35430","36690"," us"
"36690","37050"," coming"
"37050","37230"," to"
"37230","37350"," the"
"37350","37690"," theatre"
"37690","38090"," is"
"38090","38550"," returning"
"38550","38770"," to"
"38770","38950"," a"
"38950","39210"," small"
"39210","39610"," part"
"39610","39730"," of"
"39730","39890"," our"
"39890","40250"," life"
"40250","40670"," which"
"40670","40830"," was"
"40830","41090"," there"
"41090","41450"," before"
"41450","41710"," the"
"41710","42010"," war."
"42510","42590"," We"
"42590","42790"," are"
"42790","43330"," internally"
"43330","43930"," displaced"
"43930","44370"," from"
"44370","44750"," Kiev,"
"44870","45050"," says"
"45050","45350"," Julia"
"45350","46110"," Dimitrieva. "
"46630","46750"," We"
"46750","46910"," had"
"46910","47050"," to"
"47050","47270"," come"
"47270","47430"," to"
"47430","47870"," Lviv"
"47870","48290"," while"
"48290","48510"," there"
"48510","48690"," are"
"48690","49330"," hostilities."
"51090","51790"," The"
"51790","52270"," artistic"
"52270","52790"," director"
"52790","53190"," tells"
"53190","53410"," me"
"53410","54010"," why"
"54010","54250"," they"
"54250","54770"," decided"
"54770","55050"," to"
"55050","55410"," open"
"55410","55790"," now."
"57190","57190"," We"
"57190","57670"," understand"
"57670","59530"," that"
"59530","59910"," light"
"59910","60370"," must"
"60370","60650"," defeat"
"60650","61290"," darkness,"
"61730","61870"," that"
"61870","62250"," life"
"62250","62630"," must"
"62630","62950"," defeat"
"62950","63290"," death"
"63290","64030"," and"
"64030","64209"," the"
"64209","64489"," mission"
"64489","64670"," of"
"64670","64790"," the"
"64790","65170"," theatre"
"65170","65510"," is"
"65510","65650"," to"
"65650","66090"," assert"
"66090","66430"," this. "
"68110","68550"," But"
"68550","68730"," the"
"68730","69150"," reminders"
"69150","69470"," of"
"69470","69670"," war"
"69670","69950"," are"
"69950","70210"," never"
"70210","70470"," too"
"70470","70790"," far"
"70790","71270"," away."
"72090","72290"," Dear"
"72290","72890"," guests,"
"73110","73250"," our"
"73250","73630"," event"
"73630","73850"," will"
"73850","74050"," be"
"74050","74570"," suspended"
"74570","74930"," in"
"74930","75270"," case"
"75270","75490"," of"
"75490","75690"," an"
"75690","75910"," air"
"75910","76110"," raid"
"76110","76550"," alert."
"77450","78330"," Only"
"78330","78810"," 300"
"78810","79410"," seats"
"79410","79590"," were"
"79590","79890"," allowed"
"79890","80030"," to"
"80030","80170"," be"
"80170","80410"," sold"
"80410","80770"," tonight,"
"81210","81310"," the"
"81310","81770"," capacity"
"81770","82430"," of"
"82430","82610"," the"
"82610","83090"," Opera's"
"83090","83250"," bomb"
"83250","83710"," shelter. "
"84430","84870"," Still,"
"85450","85850"," it's"
"85850","86130"," sold"
"86130","86590"," out."
"87930","88590"," It's"
"88590","88810"," only"
"88810","89230"," minutes"
"89230","89650"," now"
"89650","90130"," until"
"90130","90410"," that"
"90410","90770"," curtain"
"90770","91350"," opens"
"91350","91550"," and"
"91550","91690"," you"
"91690","91870"," can"
"91870","92490"," feel"
"92490","93170"," the"
"93170","93590"," tension"
"93590","94210"," because"
"94210","94430"," this"
"94430","94870"," performance"
"94870","95370"," is"
"95370","95770"," extra"
"95770","96250"," special."
"97870","98310"," For"
"98310","98490"," a"
"98490","98690"," few"
"98690","99210"," hours,"
"99990","100350"," nothing"
"100350","100830"," else"
"100830","101210"," matters. "
"103950","104610"," As"
"104610","105270"," the"
"105270","105790"," audience"
"105790","105990"," and"
"105990","106190"," I"
"106190","106310"," are"
"106310","106950"," transported"
"106950","107230"," to"
"107230","107370"," a"
"107370","107670"," world"
"107670","107850"," of"
"107850","108190"," love"
"108190","108810"," and"
"108810","109250"," beauty."
"111830","112490"," Playing"
"112490","112890"," Giselle"
"112890","113350"," tonight"
"113350","113950"," is"
"113950","114470"," 21 "
"114470","114770","-year "
"114770","115010","-old"
"115010","115470"," Irina."
"119410","120070"," It"
"120070","120450"," feels"
"120450","120890"," great,"
"120990","121090"," she"
"121090","121390"," tells"
"121390","121570"," me,"
"121650","121830"," back"
"121830","121970"," in"
"121970","122130"," her"
"122130","122430"," dressing"
"122430","122710"," room"
"122710","123550"," because"
"123550","124050"," dancing"
"124050","124410"," helps"
"124410","124610"," to"
"124610","125010"," distract"
"125010","125330"," from"
"125330","125630"," what's"
"125630","126030"," happening. "
"129530","129810"," Like"
"129810","130110"," many"
"130110","130510"," here,"
"130710","130850"," her"
"130850","131190"," life"
"131190","131190"," is"
"131190","131190"," a"
"131190","131190"," journey."
"131190","131230"," Her"
"131230","131230"," life"
"131230","131350"," has"
"131350","131530"," been"
"131530","131930"," shaken"
"131930","132250"," by"
"132250","132610"," war"
"132610","133450"," and"
"133450","133650"," the"
"133650","134030"," horrors"
"134030","134290"," of"
"134290","134670"," Bucza,"
"135270","135510"," where"
"135510","135890"," mass"
"135890","136330"," graves"
"136330","136550"," were"
"136550","137030"," recently"
"137030","137670"," found."
"139290","139310"," My"
"139310","140670"," mum"
"140670","140830"," and"
"140830","140990"," my"
"140990","141450"," grandmother"
"141450","141850"," and"
"141850","142090"," her"
"142090","142410"," sister"
"142410","143010"," survived"
"143010","143570"," occupation"
"143570","143870"," in"
"143870","144270"," Bucza,"
"144350","144450"," she"
"144450","144770"," tells"
"144770","144970"," me. "
"145570","146010"," Now"
"146010","146270"," she's"
"146270","146450"," in"
"146450","146870"," safety"
"146870","147350"," in"
"147350","147710"," Poland,"
"147910","148310"," restoring"
"148310","148610"," her"
"148610","149030"," nerves."
"151370","152130"," Doreena"
"152130","152430"," finds"
"152430","152930"," solace"
"152930","153210"," on"
"153210","153450"," this"
"153450","153950"," stage,"
"154970","155550"," throwing"
"155550","156050"," herself"
"156050","156450"," behind"
"156450","156770"," her"
"156770","157230"," character."
"161190","161570"," All"
"161570","161750"," the"
"161750","162090"," negative"
"162090","162650"," emotions"
"162650","162930"," which"
"162930","163470"," accumulate"
"163470","163790"," for"
"163790","163930"," a"
"163930","164130"," long"
"164130","164510"," time"
"164510","164950"," flow"
"164950","165370"," out,"
"165510","165610"," she"
"165610","165910"," tells"
"165910","166250"," me. "
"167950","168090"," A"
"168090","168670"," cathartic"
"168670","169190"," performance"
"169190","169530"," for"
"169530","169850"," both"
"169850","170290"," those"
"170290","170710"," on"
"170710","170990"," and"
"170990","171270"," off"
"171270","171930"," stage."
"174210","174890"," Offering"
"174890","175310"," comfort"
"175310","175570"," to"
"175570","175930"," those"
"175930","176110"," who"
"176110","176390"," need"
"176390","176530"," it"
"176530","176970"," most."
"177750","177970"," In"
"177970","178130"," the"
"178130","178350"," hope"
"178350","178530"," they"
"178530","178730"," can"
"178730","179070"," lift,"
"179290","179430"," if"
"179430","179830"," only"
"179830","180110"," just"
"180110","180490"," briefly,"
"181050","181250"," this"
"181250","181890"," nation's"
"181890","182310"," aching"
"182310","182770"," soul. "
"184310","184470"," Isa"
"184470","185130"," Soares,"
"185170","185450"," CNN,"
"185930","186210"," Lviv,"
"186470","186710"," Ukraine. "
